question,choices,answer
"The liquid needed a place to be stored and not consumed easily , where did it need to go ?",jar|drinking glass|container|thermos|cup,container
Why would someone bring suit against a total stranger ?,aggravation|randomness|going to court|tensions|anger,randomness
Sam loves to create art . Looking at other peoples work does what to him ?,depresses|express yourself|inspires|enlightenment|creative,inspires
Where can you let a puppy sleep after it 's been housebroken ?,dog house|home|table|bed|kennel,home
There is often a final exam at the end of each quarter of what ?,quarterlight|hour|school year|semester|hundredweight,school year
What is someone beginning work they really want to do likely to feel ?,working|stress|excitement|confusion|panic,excitement
What does a driving car cause ?,pollution|delays|on time|car crash|run out of gas,pollution
"The man looked longingly at the seats after hours on the road , where was he ?",rest area|show|bowling alley|space shuttle|doctors office,rest area
"When a person gets dressed , where can they often check a mirror to see how their outfiit looks ?",dressing room|toilet|bedroom|house|at hotel,bedroom
"The gardener was famous for his rosebush , the roses were used all over America and up north where ?",park|maine|canada|california|indiana,canada
"The person was looking for the bus arrival time , what did he do with the station schedule ?",read text|cross street|enjoy learning|throw away|play dumb,read text
What will criminals do before robbing a bank ?,step lightly|serving time|take money|arm themselves|manual,arm themselves
What destination is a sailor typically most excited for ?,sail boat|ship out|dinner|coming home|board ship,coming home
What could you do while you are listening to music ?,fiddle|sing|play piano|run|have fun,have fun
"The turkey needed to be cooked , what can be used for this situation ?",sink|refrigerator|oven|fridge|bought at store,oven
This country spans the entire breadth of the landmass . What is it called ?,america|ocean|africa|continent|great outdoors,america
When talking to someone and gaining their trust they will do what they want because of you have done what ?,communication|persuaded|learn|friendship|engaged,persuaded
"The rapper had great respect for the track , this was despite it being a what directed at him ?",diss|belittle|kind|being rude|contemn,diss
"If someone is a mechanic , what are likely issues they will be asked to fix ?",machine tool|oil squeaky joints|oil engine|machine parts|servicing airplane,oil engine
"Two friend decided to spend their lives together in matrimony , so what did they arrange ?",restaurant|wedding|internet cafe|movie|friend 's house,wedding
What do children feel when going to the opera ?,headache|fresh|constipated|confusion|boredom,boredom
Too much jogging for elderly people can lead to what ?,exhaustion|shortness of breath|heart attacks|blisters|diabetes,heart attacks
"John does n't like seeing new movies . He thinks that they 're bad , and excessive . What emotion might he experience where he sees one .",curiosity|excitement|education|wonder|fear,fear
Where would you not be likely to find ice ?,hockey game|cold weather|refrigerator|zoo|antarctica,refrigerator
Where would you put sunglasses if you do not have anything to put them in that can be carried with you ?,stores along beach|shirt pocket|eye doctor|drugstore|bag,shirt pocket
"Animals can be very primal , sometimes to prove themselves they what ?",fight each other|need to eat|are territorial|feel pain|live lives,fight each other
Where would you find a trash can nearby liquid in a workplace ?,alley|office|motel|water cooler|park,water cooler
"Creating art fulfilled me , what else did it give me therefor ?",strong emotion|work of art|communication|feeling of accomplishment|scholarship,feeling of accomplishment
Where do you watch rubbish ?,pooja hall|television|trash can|park|waste bin,television
"Someone who is selfish would n't share a sandwich with their hungry friend , someone who is what might though ?",philanthropic|unselfish|selfless|altruistic|not hungry,selfless
"The boss gave him the money to appease the clients , he had to what ?",buy a train ticket|create art|apply for job|take care of proposals|stand in line,take care of proposals
What caused my shirt to get soaked after going jogging ?,arthritis|lose weight|sweating|exercise|feel better,sweating
What would you need to have insulation to go to ?,house|attic|arctic|antartica|loft,arctic
"The location was famous for it 's color , but the tourist was interested in the column of the what ?",statue|pantheon|roman architecture|spreadsheet|whitehouse,whitehouse
What do people do in the cold ?,complete job|wear hats|wear shorts|believe in god|kill animals,wear hats
The business did not make profit . What did it do ?,deficit|lose money|expense|losing money|gain money,lose money
The humorous is a bone found where ?,cow|arm|fresh fish|museum|comedy club,arm
Where would you bring a tote bag with papers in it ?,shopping cart|the garage|house|school|closet,school
Where is a supply closet likely to be located ?,bedroom|coats|mop and bucket|school|house,school
"He finished installing a swinging hinge on both parts , she had always wanted a fancy what ?",swing door|gate|french door|car door|exterior door,french door
What is someone doing to the other party when hurting someone else ?,causing pain|seek revenge|hurt feelings|relieve|sadness,causing pain
What can occur in fencing when it is really hot ?,puncture wound|drinking|perspiration|severe injuries|competition,perspiration
"if you cogitate on something for a long time , you can get this feeling ?",might understand|enjoy|sit comfortably|think about things|get irritated,might understand
